model_name, msg, step_size, perturb_steps, random, loss_fun, epsilon, batch_size, gpuid, model_path, Natural_ACC, Robust_ACC, Time
model5, UseEntroDI, 0.01, 50, 0, Margin, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.814300000667572, 0.5378000140190125 
model5, UseEntroDI, 0.01, 50, 0, CE, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.814300000667572, 0.5346999764442444 
model6, UseEntroDI, 0.01, 50, 0, Margin+Decaying_bias, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8824999928474426, 0.6107000112533569 
model6, UseEntroDI, 0.01, 50, 0, Margin, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8824999928474426, 0.6107000112533569 
model6, UseEntroDI, 0.01, 50, 0, CE, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8824999928474426, 0.638700008392334 
model3, NoEntroDI, 0.01, 50, 0, Margin, 0.03137254901960784, 300, 0-1-2-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8032999634742737, 0.6019999980926514 
model3, NoEntroDI, 0.01, 50, 0, Margin+Entro, 0.03137254901960784, 300, 0-1-2-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8032999634742737, 0.26080000400543213 
model3, UseEntroDI, 0.01, 50, 0, Margin+Entro, 0.03137254901960784, 300, 0-1-2-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8032999634742737, 0.26159998774528503 
model3, UseEntroDI, 0.01, 50, 0, Margin, 0.03137254901960784, 300, 0-1-2-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8032999634742737, 0.5640999674797058 
model2, UseEntroDI, 0.01, 50, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8301999568939209, 0.4976999759674072 
model2, UseEntroDI, 0.01, 50, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8301999568939209, 0.5026999711990356 
model3, UseEntroDI, 0.01, 50, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8032999634742737, 0.26159998774528503 
model3, UseEntroDI, 0.01, 50, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8032999634742737, 0.24699999392032623 
model4, UseEntroDI, 0.01, 50, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8491999506950378, 0.5408999919891357 
model4, UseEntroDI, 0.01, 50, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8491999506950378, 0.5496999621391296 
model5, UseEntroDI, 0.01, 50, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.814300000667572, 0.5379999876022339 
model5, UseEntroDI, 0.01, 50, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.814300000667572, 0.534500002861023 
model6, UseEntroDI, 0.01, 50, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8824999928474426, 0.6108999848365784 
model6, UseEntroDI, 0.01, 50, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8824999928474426, 0.6394000053405762 
model1, NoODI, 0.01, 20, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.94290, 0.00030, 100.0924 
model1, NoODI, 0.01, 50, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.94290, 0.00000, 198.0202 
